time mem
102895.30 1653888
102995.44 1687092
101849.76 1659480
101727.07 1642428
102148.87 1653996
101884.79 1648864
102219.96 1668236
103647.34 1677236
102078.02 1640884
101812.41 1639804
102150.84 1641500
102180.21 1655744
102292.97 1655468
101761.42 1674840
103236.59 1704304
102164.99 1656764
101358.43 1645956
102844.77 1668852
101122.64 1642720
102500.75 1657888
101026.85 1660616
102664.46 1669440
102508.94 1648712
102232.11 1653800
102349.23 1658040
102230.67 1671252
101925.98 1661240
102334.03 1669356
102999.74 1678512
102565.59 1695048
102872.53 1675440
102588.34 1659356
102537.93 1655800
102411.24 1675412
102242.94 1649964
102298.51 1647156
102660.56 1677076
102138.82 1650040
102702.43 1644564
101825.86 1630960
