time mem
4905.05 85256
4830.07 92172
4968.18 95964
5099.44 94928
4860.04 87456
4926.13 87904
4910.23 86928
4938.05 89344
4929.12 87632
4811.27 88988
4939.51 89756
4863.74 88944
4926.54 91488
4935.85 89636
4908.21 93672
4976.48 95056
4935.34 94268
5055.83 98012
4876.45 92288
4988.19 92956
5007.46 93772
4861.55 87436
4945.30 90800
4820.46 85048
4968.23 89292
4996.58 94612
4917.42 88992
5011.24 91512
4834.80 91768
5047.07 97324
5008.11 89692
4936.93 90628
4961.11 93544
4861.02 88096
4830.88 89128
4986.60 91544
4889.76 89272
4979.55 91712
4948.75 86324
4957.76 89972
