Simulation	mem	times	h	pneut	s
fwdpy11	70700	0.6637111111111111	0.0	0.99	-0.001
fwdpy11	72880	0.6706416666666667	0.0	0.99	-0.001
fwdpy11	72776	0.6635888888888889	0.0	0.99	-0.001
fwdpy11	71960	0.6419055555555556	0.0	0.99	-0.001
fwdpy11	70648	0.6720777777777778	0.0	0.99	-0.001
fwdpy11	76496	0.6780527777777777	0.0	0.99	-0.001
fwdpy11	73628	0.6780361111111111	0.0	0.99	-0.001
fwdpy11	73684	0.6698999999999999	0.0	0.99	-0.001
fwdpy11	74228	0.6357388888888889	0.0	0.99	-0.001
fwdpy11	78124	0.6631805555555556	0.0	0.99	-0.001
fwdpy11	73368	0.6736916666666667	0.0	0.99	-0.001
fwdpy11	71884	0.6691138888888889	0.0	0.99	-0.001
fwdpy11	73052	0.6334	0.0	0.99	-0.001
fwdpy11	70868	0.6691972222222222	0.0	0.99	-0.001
fwdpy11	71740	0.6634472222222222	0.0	0.99	-0.001
fwdpy11	74608	0.6768638888888889	0.0	0.99	-0.001
fwdpy11	75012	0.6710027777777778	0.0	0.99	-0.001
fwdpy11	72700	0.6729083333333333	0.0	0.99	-0.001
fwdpy11	71028	0.6685833333333333	0.0	0.99	-0.001
fwdpy11	71104	0.6709527777777777	0.0	0.99	-0.001
fwdpy11	70760	0.6701	0.0	0.99	-0.001
fwdpy11	72596	0.670925	0.0	0.99	-0.001
fwdpy11	77220	0.6780111111111111	0.0	0.99	-0.001
fwdpy11	82800	0.6447333333333333	0.0	0.99	-0.001
fwdpy11	73456	0.6754861111111111	0.0	0.99	-0.001
fwdpy11	73124	0.6666638888888888	0.0	0.99	-0.001
fwdpy11	72492	0.6716277777777778	0.0	0.99	-0.001
fwdpy11	74592	0.6640583333333334	0.0	0.99	-0.001
fwdpy11	75100	0.6756916666666666	0.0	0.99	-0.001
fwdpy11	73596	0.674975	0.0	0.99	-0.001
fwdpy11	74660	0.6627444444444445	0.0	0.99	-0.001
fwdpy11	72944	0.6595194444444444	0.0	0.99	-0.001
fwdpy11	72004	0.6689083333333333	0.0	0.99	-0.001
fwdpy11	70624	0.6619055555555556	0.0	0.99	-0.001
fwdpy11	71468	0.6637944444444444	0.0	0.99	-0.001
fwdpy11	76652	0.6598861111111112	0.0	0.99	-0.001
fwdpy11	73536	0.6670638888888888	0.0	0.99	-0.001
fwdpy11	76548	0.6750277777777778	0.0	0.99	-0.001
fwdpy11	71176	0.6700583333333333	0.0	0.99	-0.001
fwdpy11	70804	0.6707972222222222	0.0	0.99	-0.001
slim	96408	5.785063888888889	0.0	0.99	-0.001
slim	91324	5.641633333333334	0.0	0.99	-0.001
slim	89508	5.620427777777778	0.0	0.99	-0.001
slim	95472	5.664422222222222	0.0	0.99	-0.001
slim	89536	5.6139777777777775	0.0	0.99	-0.001
slim	94068	5.626327777777777	0.0	0.99	-0.001
slim	85108	5.356372222222221	0.0	0.99	-0.001
slim	89064	5.542802777777778	0.0	0.99	-0.001
slim	88332	5.571352777777777	0.0	0.99	-0.001
slim	90524	5.746475	0.0	0.99	-0.001
slim	86424	5.255605555555555	0.0	0.99	-0.001
slim	89556	5.6749027777777785	0.0	0.99	-0.001
slim	90012	5.616480555555556	0.0	0.99	-0.001
slim	89368	5.603883333333333	0.0	0.99	-0.001
slim	88368	5.570144444444445	0.0	0.99	-0.001
slim	94344	5.614413888888889	0.0	0.99	-0.001
slim	85096	5.413680555555556	0.0	0.99	-0.001
slim	86304	5.601302777777778	0.0	0.99	-0.001
slim	91716	5.575352777777778	0.0	0.99	-0.001
slim	91320	5.673238888888889	0.0	0.99	-0.001
slim	90344	5.650855555555556	0.0	0.99	-0.001
slim	88416	5.5389	0.0	0.99	-0.001
slim	84016	5.563930555555556	0.0	0.99	-0.001
slim	90384	5.4090444444444445	0.0	0.99	-0.001
slim	86844	5.544169444444444	0.0	0.99	-0.001
slim	91776	5.4458416666666665	0.0	0.99	-0.001
slim	89016	5.629972222222222	0.0	0.99	-0.001
slim	90988	5.550397222222222	0.0	0.99	-0.001
slim	90584	5.51331111111111	0.0	0.99	-0.001
slim	91544	5.637480555555555	0.0	0.99	-0.001
slim	91192	5.550300000000001	0.0	0.99	-0.001
slim	96764	5.726358333333333	0.0	0.99	-0.001
slim	91168	5.6193888888888885	0.0	0.99	-0.001
slim	89940	5.6556750000000005	0.0	0.99	-0.001
slim	90500	5.590283333333334	0.0	0.99	-0.001
slim	90964	5.432822222222222	0.0	0.99	-0.001
slim	88408	5.525816666666667	0.0	0.99	-0.001
slim	86868	5.575602777777777	0.0	0.99	-0.001
slim	88276	5.62	0.0	0.99	-0.001
slim	90936	5.429236111111111	0.0	0.99	-0.001
fwdpy11	70792	0.6283888888888889	0.5	0.99	-0.001
fwdpy11	73240	0.6270055555555555	0.5	0.99	-0.001
fwdpy11	77172	0.6310111111111111	0.5	0.99	-0.001
fwdpy11	74892	0.6047972222222222	0.5	0.99	-0.001
fwdpy11	76452	0.6327666666666667	0.5	0.99	-0.001
fwdpy11	68780	0.6231055555555555	0.5	0.99	-0.001
fwdpy11	72020	0.6192333333333333	0.5	0.99	-0.001
fwdpy11	71092	0.6215722222222222	0.5	0.99	-0.001
fwdpy11	72196	0.6278361111111112	0.5	0.99	-0.001
fwdpy11	73912	0.6344111111111111	0.5	0.99	-0.001
fwdpy11	72724	0.6253916666666667	0.5	0.99	-0.001
fwdpy11	69924	0.6260138888888889	0.5	0.99	-0.001
fwdpy11	73680	0.6047666666666667	0.5	0.99	-0.001
fwdpy11	76488	0.6159527777777777	0.5	0.99	-0.001
fwdpy11	74496	0.6307972222222222	0.5	0.99	-0.001
fwdpy11	71644	0.626936111111111	0.5	0.99	-0.001
fwdpy11	70628	0.6240722222222221	0.5	0.99	-0.001
fwdpy11	70664	0.6248416666666666	0.5	0.99	-0.001
fwdpy11	70120	0.6207722222222223	0.5	0.99	-0.001
fwdpy11	74444	0.6284527777777777	0.5	0.99	-0.001
fwdpy11	70392	0.627738888888889	0.5	0.99	-0.001
fwdpy11	74252	0.6198555555555556	0.5	0.99	-0.001
fwdpy11	71228	0.6259638888888889	0.5	0.99	-0.001
fwdpy11	75896	0.6140777777777777	0.5	0.99	-0.001
fwdpy11	73812	0.6240527777777778	0.5	0.99	-0.001
fwdpy11	71784	0.6290861111111111	0.5	0.99	-0.001
fwdpy11	70672	0.6189694444444445	0.5	0.99	-0.001
fwdpy11	75912	0.6125722222222223	0.5	0.99	-0.001
fwdpy11	71504	0.6280555555555556	0.5	0.99	-0.001
fwdpy11	70688	0.6239055555555555	0.5	0.99	-0.001
fwdpy11	71664	0.6242083333333334	0.5	0.99	-0.001
fwdpy11	70400	0.6251388888888889	0.5	0.99	-0.001
fwdpy11	68604	0.6108916666666667	0.5	0.99	-0.001
fwdpy11	74132	0.6282277777777777	0.5	0.99	-0.001
fwdpy11	73000	0.6278611111111112	0.5	0.99	-0.001
fwdpy11	71608	0.6274472222222222	0.5	0.99	-0.001
fwdpy11	71536	0.6210166666666667	0.5	0.99	-0.001
fwdpy11	71884	0.6283972222222223	0.5	0.99	-0.001
fwdpy11	68624	0.6212388888888889	0.5	0.99	-0.001
fwdpy11	72384	0.6245277777777778	0.5	0.99	-0.001
slim	89692	5.528499999999999	0.5	0.99	-0.001
slim	90520	5.731280555555556	0.5	0.99	-0.001
slim	89348	5.613708333333333	0.5	0.99	-0.001
slim	88300	5.3123249999999995	0.5	0.99	-0.001
slim	85208	5.279036111111111	0.5	0.99	-0.001
slim	92368	5.6039111111111115	0.5	0.99	-0.001
slim	89228	5.426991666666666	0.5	0.99	-0.001
slim	92532	5.685202777777778	0.5	0.99	-0.001
slim	91924	5.497269444444444	0.5	0.99	-0.001
slim	90196	5.5442	0.5	0.99	-0.001
slim	86984	5.4682055555555555	0.5	0.99	-0.001
slim	91332	5.690669444444445	0.5	0.99	-0.001
slim	90944	5.633794444444445	0.5	0.99	-0.001
slim	91712	5.571338888888889	0.5	0.99	-0.001
slim	89204	5.435027777777777	0.5	0.99	-0.001
slim	87836	5.471577777777778	0.5	0.99	-0.001
slim	87208	5.3315	0.5	0.99	-0.001
slim	85932	5.504538888888889	0.5	0.99	-0.001
slim	90592	5.577569444444444	0.5	0.99	-0.001
slim	87876	5.5663222222222215	0.5	0.99	-0.001
slim	89360	5.572611111111112	0.5	0.99	-0.001
slim	87084	5.409199999999999	0.5	0.99	-0.001
slim	88788	5.336530555555555	0.5	0.99	-0.001
slim	91864	5.488038888888888	0.5	0.99	-0.001
slim	84884	5.290908333333333	0.5	0.99	-0.001
slim	88012	5.4631694444444445	0.5	0.99	-0.001
slim	90932	5.676227777777777	0.5	0.99	-0.001
slim	88672	5.555847222222222	0.5	0.99	-0.001
slim	91696	5.504761111111111	0.5	0.99	-0.001
slim	89860	5.368175	0.5	0.99	-0.001
slim	84424	5.3721000000000005	0.5	0.99	-0.001
slim	92764	5.494141666666667	0.5	0.99	-0.001
slim	89200	5.521802777777778	0.5	0.99	-0.001
slim	92592	5.435694444444445	0.5	0.99	-0.001
slim	86792	5.425583333333333	0.5	0.99	-0.001
slim	88488	5.452202777777778	0.5	0.99	-0.001
slim	91104	5.593172222222222	0.5	0.99	-0.001
slim	88744	5.408736111111112	0.5	0.99	-0.001
slim	90300	5.447025	0.5	0.99	-0.001
slim	94808	5.5559361111111105	0.5	0.99	-0.001
fwdpy11	69136	0.7998805555555556	0.0	0.9	-0.001
fwdpy11	71200	0.7932638888888889	0.0	0.9	-0.001
fwdpy11	68064	0.7720527777777777	0.0	0.9	-0.001
fwdpy11	68724	0.7601111111111112	0.0	0.9	-0.001
fwdpy11	68536	0.788811111111111	0.0	0.9	-0.001
fwdpy11	70372	0.7910666666666667	0.0	0.9	-0.001
fwdpy11	70356	0.804475	0.0	0.9	-0.001
fwdpy11	70884	0.8012027777777777	0.0	0.9	-0.001
fwdpy11	71788	0.7851527777777778	0.0	0.9	-0.001
fwdpy11	66532	0.7766805555555556	0.0	0.9	-0.001
fwdpy11	68460	0.7956916666666666	0.0	0.9	-0.001
fwdpy11	68664	0.7888972222222222	0.0	0.9	-0.001
fwdpy11	68552	0.7583055555555556	0.0	0.9	-0.001
fwdpy11	69236	0.7733555555555556	0.0	0.9	-0.001
fwdpy11	65280	0.7788722222222222	0.0	0.9	-0.001
fwdpy11	69276	0.796825	0.0	0.9	-0.001
fwdpy11	67684	0.7914916666666666	0.0	0.9	-0.001
fwdpy11	74720	0.8084388888888889	0.0	0.9	-0.001
fwdpy11	69412	0.7816222222222222	0.0	0.9	-0.001
fwdpy11	71196	0.7982083333333334	0.0	0.9	-0.001
fwdpy11	66752	0.7730472222222222	0.0	0.9	-0.001
fwdpy11	66652	0.7618444444444444	0.0	0.9	-0.001
fwdpy11	69564	0.7928083333333333	0.0	0.9	-0.001
fwdpy11	67016	0.7615555555555555	0.0	0.9	-0.001
fwdpy11	67772	0.7892111111111111	0.0	0.9	-0.001
fwdpy11	69316	0.8019388888888889	0.0	0.9	-0.001
fwdpy11	71108	0.7856	0.0	0.9	-0.001
fwdpy11	76668	0.7517472222222222	0.0	0.9	-0.001
fwdpy11	68628	0.7901416666666667	0.0	0.9	-0.001
fwdpy11	74864	0.7925	0.0	0.9	-0.001
fwdpy11	67404	0.7964749999999999	0.0	0.9	-0.001
fwdpy11	71216	0.7825666666666666	0.0	0.9	-0.001
fwdpy11	70264	0.7903138888888889	0.0	0.9	-0.001
fwdpy11	70468	0.7877805555555556	0.0	0.9	-0.001
fwdpy11	71076	0.7958055555555555	0.0	0.9	-0.001
fwdpy11	72040	0.8020222222222223	0.0	0.9	-0.001
fwdpy11	73152	0.7983666666666667	0.0	0.9	-0.001
fwdpy11	69784	0.7908499999999999	0.0	0.9	-0.001
fwdpy11	65060	0.7855138888888888	0.0	0.9	-0.001
fwdpy11	68620	0.7907333333333333	0.0	0.9	-0.001
slim	83836	5.382469444444444	0.0	0.9	-0.001
slim	81468	5.344069444444445	0.0	0.9	-0.001
slim	79024	5.320547222222222	0.0	0.9	-0.001
slim	83132	5.222411111111112	0.0	0.9	-0.001
slim	79828	5.068077777777778	0.0	0.9	-0.001
slim	86824	5.513147222222223	0.0	0.9	-0.001
slim	86576	5.296152777777778	0.0	0.9	-0.001
slim	82988	5.329566666666667	0.0	0.9	-0.001
slim	82764	5.340663888888889	0.0	0.9	-0.001
slim	81368	5.229183333333333	0.0	0.9	-0.001
slim	80456	5.123363888888889	0.0	0.9	-0.001
slim	83800	5.435766666666666	0.0	0.9	-0.001
slim	85832	5.36885	0.0	0.9	-0.001
slim	80248	5.259677777777778	0.0	0.9	-0.001
slim	84728	5.467436111111112	0.0	0.9	-0.001
slim	80536	5.427713888888889	0.0	0.9	-0.001
slim	83076	5.390980555555555	0.0	0.9	-0.001
slim	82132	5.333836111111111	0.0	0.9	-0.001
slim	79104	5.340936111111111	0.0	0.9	-0.001
slim	82416	5.449825	0.0	0.9	-0.001
slim	89480	5.301444444444445	0.0	0.9	-0.001
slim	83960	5.274183333333334	0.0	0.9	-0.001
slim	83476	5.302733333333333	0.0	0.9	-0.001
slim	84824	5.252825	0.0	0.9	-0.001
slim	81956	5.4349694444444445	0.0	0.9	-0.001
slim	80120	5.252227777777778	0.0	0.9	-0.001
slim	85048	5.420505555555556	0.0	0.9	-0.001
slim	82200	5.353366666666666	0.0	0.9	-0.001
slim	87252	5.361572222222222	0.0	0.9	-0.001
slim	84828	5.430594444444444	0.0	0.9	-0.001
slim	82732	5.391094444444444	0.0	0.9	-0.001
slim	78768	5.1878416666666665	0.0	0.9	-0.001
slim	84080	5.326488888888889	0.0	0.9	-0.001
slim	83272	5.287338888888889	0.0	0.9	-0.001
slim	85908	5.225530555555555	0.0	0.9	-0.001
slim	83876	5.264722222222222	0.0	0.9	-0.001
slim	81424	5.324011111111111	0.0	0.9	-0.001
slim	79988	5.233519444444444	0.0	0.9	-0.001
slim	80436	5.4004972222222225	0.0	0.9	-0.001
slim	85188	5.391713888888888	0.0	0.9	-0.001
fwdpy11	65784	0.6457333333333333	0.5	0.9	-0.001
fwdpy11	61772	0.6375333333333333	0.5	0.9	-0.001
fwdpy11	64992	0.6336055555555555	0.5	0.9	-0.001
fwdpy11	63512	0.6178777777777779	0.5	0.9	-0.001
fwdpy11	65928	0.6419750000000001	0.5	0.9	-0.001
fwdpy11	64048	0.6390555555555555	0.5	0.9	-0.001
fwdpy11	64536	0.6429361111111112	0.5	0.9	-0.001
fwdpy11	61348	0.6374916666666666	0.5	0.9	-0.001
fwdpy11	65956	0.6242500000000001	0.5	0.9	-0.001
fwdpy11	65768	0.6320305555555555	0.5	0.9	-0.001
fwdpy11	64332	0.6439333333333332	0.5	0.9	-0.001
fwdpy11	62432	0.6351611111111111	0.5	0.9	-0.001
fwdpy11	62756	0.6065861111111112	0.5	0.9	-0.001
fwdpy11	65668	0.6333555555555556	0.5	0.9	-0.001
fwdpy11	66408	0.6391972222222223	0.5	0.9	-0.001
fwdpy11	61780	0.6379250000000001	0.5	0.9	-0.001
fwdpy11	61988	0.6356805555555555	0.5	0.9	-0.001
fwdpy11	64268	0.6387361111111111	0.5	0.9	-0.001
fwdpy11	64888	0.6384583333333332	0.5	0.9	-0.001
fwdpy11	63384	0.6434444444444445	0.5	0.9	-0.001
fwdpy11	63672	0.6427944444444444	0.5	0.9	-0.001
fwdpy11	64152	0.6111	0.5	0.9	-0.001
fwdpy11	63992	0.6421944444444445	0.5	0.9	-0.001
fwdpy11	62528	0.5991777777777778	0.5	0.9	-0.001
fwdpy11	65488	0.6385583333333333	0.5	0.9	-0.001
fwdpy11	62384	0.6444222222222222	0.5	0.9	-0.001
fwdpy11	61916	0.6416083333333333	0.5	0.9	-0.001
fwdpy11	65332	0.6441166666666667	0.5	0.9	-0.001
fwdpy11	63364	0.6414583333333334	0.5	0.9	-0.001
fwdpy11	62400	0.6351222222222223	0.5	0.9	-0.001
fwdpy11	63304	0.6415361111111112	0.5	0.9	-0.001
fwdpy11	63816	0.637975	0.5	0.9	-0.001
fwdpy11	66380	0.6432444444444444	0.5	0.9	-0.001
