sim	mem	times	h	psel	s
fwdpy	73416.0	0.6664493055555558	0.0	0.99	-0.001
slim	90019.5	5.574431180555555	0.0	0.99	-0.001
fwdpy	72383.4	0.6235339583333334	0.5	0.99	-0.001
slim	89482.6	5.496120833333333	0.5	0.99	-0.001
fwdpy	69637.4	0.7866306944444446	0.0	0.9	-0.001
slim	82973.8	5.326546388888889	0.0	0.9	-0.001
fwdpy	64029.2	0.6362436111111112	0.5	0.9	-0.001
slim	73775.4	4.5419509722222235	0.5	0.9	-0.001
fwdpy	36219.3	0.3264384027777778	0.0	0.99	0.05
slim	25542.6	0.9697225000000002	0.0	0.99	0.05
fwdpy	32369.7	0.3686740277777777	0.5	0.99	0.05
slim	17273.1	0.5037786111111112	0.5	0.99	0.05
fwdpy	31462.5	0.3120752083333333	0.0	0.9	0.05
slim	16785.7	0.4766797916666666	0.0	0.9	0.05
fwdpy	34001.5	0.4928902083333333	0.5	0.9	0.05
slim	17562.6	0.5392840277777775	0.5	0.9	0.05
